CNPJ_RAIZ,RAZAO_SOCIAL_SEFAZ,RAZAO_SOCIAL_RFB,RAZAO_SOCIAL_REDESIM,FONTE_RECOMENDADA,RAZAO_SOCIAL_RECOMENDADA,GC,SIMILARIDADE_CAD_RFB,SIM_CAD_REDESIM,SIM_RFB_REDESIM
06303257,ALPHATHERM COMERCIO SERVIÇOS TÉCNICOS LTDA-ME,ALPHATHERM COMERCIO SERVICOS TECNICOS LTDA,,SEFAZ,ALPHATHERM COMERCIO SERVIÇOS TÉCNICOS LTDA-ME,50,86,,
06221331,LOPES FERREIRA PRODUTOS VETERINARIOS LTDA,LOPES FERREIRA PRODUTOS VETERINARIOS LTDA,,SEFAZ,LOPES FERREIRA PRODUTOS VETERINARIOS LTDA,90,100,,
07084614,F. DAS CHAGAS SERRA SILVA - ME,F. DAS CHAGAS SERRA SILVA,,SEFAZ,F. DAS CHAGAS SERRA SILVA - ME,50,84,,
06335974,CIAMM PRE ESCOLA TERAPEUTICA E COMERCIO LTDA,CIAMM - CLINICA DA INFANCIA E ADOLESCENCIA MAUD MANNONI LTDA,,SEFAZ,CIAMM PRE ESCOLA TERAPEUTICA E COMERCIO LTDA,50,37,,
06329033,ALAN DOUGLAS DE OLIVEIRA COMERCIO,ALAN DOUGLAS DE OLIVEIRA COMERCIO,,SEFAZ,ALAN DOUGLAS DE OLIVEIRA COMERCIO,90,100,,
04578834,MONTEIRO COSMETICOS LTDA,MONTEIRO COSMETICOS LTDA,,SEFAZ,MONTEIRO COSMETICOS LTDA,90,100,,
08921180,M. N. DE O. LUCENA COMERCIO,M. N. DE O. LUCENA COMERCIO,,SEFAZ,M. N. DE O. LUCENA COMERCIO,90,100,,
63589295,SAMUEL PEREIRA SERVICOS EM TELEFONIA,SAMUEL PEREIRA SERVICOS EM TELEFONIA,,SEFAZ,SAMUEL PEREIRA SERVICOS EM TELEFONIA,90,100,,
08965494,CARLOS ALBERTO SILVA DE ARAUJO,CARLOS ALBERTO SILVA DE ARAUJO,,SEFAZ,CARLOS ALBERTO SILVA DE ARAUJO,90,100,,
06051916,APOLONIO PEREIRA LOPES,APOLONIO PEREIRA LOPES,,SEFAZ,APOLONIO PEREIRA LOPES,90,100,,
07340601,D. S. SAMPAIO INFORMATICA,D. S. SAMPAIO CONTABILIDADE,,SEFAZ,D. S. SAMPAIO INFORMATICA,50,60,,
41491259,RIBEIRO & RAMOS LTDA,RIBEIRO & RAMOS LTDA,,SEFAZ,RIBEIRO & RAMOS LTDA,90,100,,
63406847,FRIGOPRAIA GALETOS BRASA LTDA,FRIGOPRAIA GALETOS NA BRASA LTDA,,SEFAZ,FRIGOPRAIA GALETOS BRASA LTDA,90,91,,
69580637,DISTR DE MATERIAIS LIMPEZA HOSPITALARES LTDA,DISTRIBUIDORA DE MATERIAIS DE LIMPEZA HOSPITALARES LTDA,,SEFAZ,DISTR DE MATERIAIS LIMPEZA HOSPITALARES LTDA,50,80,,
63444632,J F A SANTOS ME,J F A SANTOS,,SEFAZ,J F A SANTOS ME,50,80,,
63438972,VISUAL EMPREENDIMENTOS IMOBILIARIOS LTDA,VISUAL EMPREENDIMENTOS IMOBILIARIOS LTDA,VISUAL EMPREENDIMENTOS IMOBILIÁRIOS LTDA,REDESIM,VISUAL EMPREENDIMENTOS IMOBILIÁRIOS LTDA,100,100,96,96
63570899,S VIEIRA LOPES,S VIEIRA LOPES,,SEFAZ,S VIEIRA LOPES,90,100,,
35189554,C CHAVES OLIVEIRA,C CHAVES OLIVEIRA,,SEFAZ,C CHAVES OLIVEIRA,90,100,,
03522424,J. M. O. DOS SANTOS,J. M. O. DOS SANTOS,,SEFAZ,J. M. O. DOS SANTOS,90,100,,
04083643,RAIMUNDO GONÇALVES DA SILVA-ME,RAIMUNDO GONCALVES DA SILVA,,SEFAZ,RAIMUNDO GONÇALVES DA SILVA-ME,50,84,,
03923757,L. S. DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA,L S DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA,,SEFAZ,L. S. DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA,90,96,,
03475398,CLAYTON WELBER SANTOS,CLAYTON WELBER SANTOS,,SEFAZ,CLAYTON WELBER SANTOS,90,100,,
03927957,A R AGUIAR,A. R. AGUIAR,,SEFAZ,A R AGUIAR,50,84,,
03549017,M  DE N  C  ARAUJO   ME,M. DE N. C. ARAUJO,,SEFAZ,M  DE N  C  ARAUJO   ME,50,66,,
04127450,L. DA C. DA SILVA COSTA,L. DA C. DA SILVA COSTA,,SEFAZ,L. DA C. DA SILVA COSTA,90,100,,
03554947,EVANGELISTA COMERCIO LTDA,EVANGELISTA COMERCIO LTDA,,SEFAZ,EVANGELISTA COMERCIO LTDA,90,100,,
14310577,CONSTRUTORA O A S LTDA,,CONSTRUTORA COESA S.A.,REDESIM,CONSTRUTORA COESA S.A.,50,,64,
15102288,CONSTRUTORA NOBERTO ODEBRECHT S A,,,SEFAZ,CONSTRUTORA NOBERTO ODEBRECHT S A,60,,,
06252367,M R RAMOS SALES - ME,M R RAMOS SALES,,SEFAZ,M R RAMOS SALES - ME,50,75,,
06963633,S DE J FONSECA DA SILVA,S DE J FONSECA DA SILVA,,SEFAZ,S DE J FONSECA DA SILVA,90,100,,
05593156,FERTUS LOGISTICA LTDA,FERTUS LOGISTICA LTDA,,SEFAZ,FERTUS LOGISTICA LTDA,90,100,,
08980782,S F PEREIRA,S F PEREIRA,,SEFAZ,S F PEREIRA,90,100,,
08951228,J. DARC C. DE OLIVEIRA,J. DARC C. DE OLIVEIRA,,SEFAZ,J. DARC C. DE OLIVEIRA,90,100,,
08672488,G B SANTOS,G. B. SANTOS,,SEFAZ,G B SANTOS,50,84,,
07687355,PARAÍSO MOTOS LTDA - ME,PARAISO MOTOS LTDA,,SEFAZ,PARAÍSO MOTOS LTDA - ME,50,71,,
08777950,W  P  LEAO,W. P. LEAO,,SEFAZ,W  P  LEAO,50,80,,
09041731,M OLIVEIRA DE SOUSA,M OLIVEIRA DE SOUSA,,SEFAZ,M OLIVEIRA DE SOUSA,90,100,,
00068958,MACEDO E MARTINS LTDA-ME,MACEDO E MARTINS LTDA,,SEFAZ,MACEDO E MARTINS LTDA-ME,50,88,,
08692586,A C FERREIRA COMERCIO E SERVICOS GRAFICOS,A C FERREIRA COMERCIO E SERVICOS GRAFICOS,,SEFAZ,A C FERREIRA COMERCIO E SERVICOS GRAFICOS,90,100,,
07792615,F R COÊLHO COMÉRCIO-ME,F R COELHO COMERCIO,,SEFAZ,F R COÊLHO COMÉRCIO-ME,50,71,,
41369869,PANIFICADORA E LANCHONETE BEDUINO LTDA,PANIFICADORA E LANCHONETE BEDUINO LTDA,,SEFAZ,PANIFICADORA E LANCHONETE BEDUINO LTDA,90,100,,
35193127,AGROPAMPA COM E REPRESENTACOES LTDA,AGROPAMPA COMERCIO E REPRESENTACOES LTDA,,SEFAZ,AGROPAMPA COM E REPRESENTACOES LTDA,50,88,,
63539076,N A S SIQUEIRA,N A S SIQUEIRA,,SEFAZ,N A S SIQUEIRA,90,100,,
41475179,DARCILENE PIRES DE ASSIS,DARCILENE PIRES DE ASSIS,DARCILENE PIRES DE ASSIS - ME,REDESIM,DARCILENE PIRES DE ASSIS - ME,30,100,83,83
35171461,QUEIROZ E NAVES LTDA,QUEIROZ E NAVES LTDA,,SEFAZ,QUEIROZ E NAVES LTDA,90,100,,
41371550,JOSE EDUARDO CARVALHO FEITOSA CIA LTDA,JOSE EDUARDO CARVALHO FEITOSA CIA LTDA,,SEFAZ,JOSE EDUARDO CARVALHO FEITOSA CIA LTDA,90,100,,
63446207,ANTONIA SOARES DE MEDEIROS ME,ANTONIA SOARES DE MEDEIROS,,SEFAZ,ANTONIA SOARES DE MEDEIROS ME,90,90,,
04627929,I M DE MENDOCA,I. M. DE MENDONCA,,SEFAZ,I M DE MENDOCA,50,83,,
04306944,DIRCE MARIA SILVA COSTA,DIRCE MARIA SILVA COSTA,,SEFAZ,DIRCE MARIA SILVA COSTA,90,100,,
04743109,FARMACIA DOS GENERICOS LTDA,FARMACIA DOS GENERICOS LTDA,,SEFAZ,FARMACIA DOS GENERICOS LTDA,90,100,,
04417249,JOSUE C TORRES CARNES E FRANGOS,JOSUE C TORRES - CARNES E FRANGOS,,SEFAZ,JOSUE C TORRES CARNES E FRANGOS,90,94,,
04414662,VERA LIDIA M DA SILVA,VERA LIDIA M. DA SILVA,,SEFAZ,VERA LIDIA M DA SILVA,90,96,,
05624485,MARCIO DAVID VASCONCELOS GARCEZ,MARCIO DAVID VASCONCELOS GARCEZ,,SEFAZ,MARCIO DAVID VASCONCELOS GARCEZ,90,100,,
07349059,S. M. RODRIGUES,S. M. RODRIGUES,,SEFAZ,S. M. RODRIGUES,90,100,,
07434885,MARIA DAS DORES DA SILVA,MARIA DAS DORES DA SILVA,,SEFAZ,MARIA DAS DORES DA SILVA,90,100,,
03523779,R. DE F. MACHADO SANCHES - ME,R.DE F. MACHADO SANCHES,,SEFAZ,R. DE F. MACHADO SANCHES - ME,50,80,,
03619062,F H DE SOUSA PINTO,F H DE SOUSA PINTO,,SEFAZ,F H DE SOUSA PINTO,90,100,,
41480328,ANA MARIA BUENO E SILVA COMERCIO,ANA MARIA BUENO E SILVA COMERCIO,,SEFAZ,ANA MARIA BUENO E SILVA COMERCIO,90,100,,
63582480,A GUTERRES & CIA LTDA,A GUTERRES & CIA LTDA,,SEFAZ,A GUTERRES & CIA LTDA,90,100,,
12509436,P T B BRINGEL,P T B BRINGEL,,SEFAZ,P T B BRINGEL,90,100,,
63532378,M DO CARMO FERREIRA,M DO CARMO FERREIRA,,SEFAZ,M DO CARMO FERREIRA,90,100,,
63417026,R M ARAUJO VARIEDADES,R M ARAUJO VARIEDADES,,SEFAZ,R M ARAUJO VARIEDADES,90,100,,
63413421,S ALVES DE OLIVEIRA,S ALVES DE OLIVEIRA,,SEFAZ,S ALVES DE OLIVEIRA,90,100,,
35186949,ALAGOAS MADEIREIRA LTDA,ALAGOAS MADEIREIRA LTDA,,SEFAZ,ALAGOAS MADEIREIRA LTDA,90,100,,
63412290,DROGARIA DROGAILHA LTDA,DROGARIA DROGAILHA LTDA,,SEFAZ,DROGARIA DROGAILHA LTDA,90,100,,
35112879,F C M RODRIGUES,F C M RODRIGUES,,SEFAZ,F C M RODRIGUES,90,100,,
63416358,PROA CONFECCOES LTDA,PROA CONFECCOES LTDA,,SEFAZ,PROA CONFECCOES LTDA,90,100,,
04292455,MARANHAO COMERCIO DE PISCINAS LTDA   ME,MARANHAO COMERCIO DE PISCINAS LTDA,,SEFAZ,MARANHAO COMERCIO DE PISCINAS LTDA   ME,50,88,,
04358185,A. C. FERREIRA-FRIGORIFICO ME,A.C.FERREIRA - FRIGORIFICO,,SEFAZ,A. C. FERREIRA-FRIGORIFICO ME,50,76,,
03433945,E SERRA COMERCIO,E SERRA COMERCIO,,SEFAZ,E SERRA COMERCIO,90,100,,
04653664,L. R. DE ALMEIDA CUNHA COMERCIO,L. R. DE ALMEIDA CUNHA COMERCIO,,SEFAZ,L. R. DE ALMEIDA CUNHA COMERCIO,90,100,,
02518375,FRANCISCO PEDRO DA SILVA NETO,FRANCISCO PEDRO DA SILVA NETO,,SEFAZ,FRANCISCO PEDRO DA SILVA NETO,90,100,,
00891656,UNIAO DE PRODUTOS ALIMENTICIOS LTDA,,,SEFAZ,UNIAO DE PRODUTOS ALIMENTICIOS LTDA,60,,,
04240935,POLYSEL COMRCIO E SERVICOS DE TELECOMUNICACOES LTDA-ME,POLYSEL COMERCIO E SERVICOS DE TELECOMUNICACOES LTDA,,SEFAZ,POLYSEL COMRCIO E SERVICOS DE TELECOMUNICACOES LTDA-ME,90,93,,
07259513,TRANSPORTADORA E MADEIREIRA SAO PEDRO LTDA,TRANSPORTADORA E MADEIREIRA SAO PEDRO LTDA,,SEFAZ,TRANSPORTADORA E MADEIREIRA SAO PEDRO LTDA,90,100,,
07006017,J SILVA PAIVA MOVEIS E ELETRODOMESTICOS,J.SILVA PAIVA MOVEIS E ELETRODOMESTICOS,,SEFAZ,J SILVA PAIVA MOVEIS E ELETRODOMESTICOS,90,98,,
07452564,AMOR COM CRIATIVIDADE PRODUTOS EROTICOS LTDA - ME,AMOR COM CRIATIVIDADE PRODUTOS EROTICOS LTDA,,SEFAZ,AMOR COM CRIATIVIDADE PRODUTOS EROTICOS LTDA - ME,90,90,,
05489905,L  LEITE VASCONCELOS DE SOUZA,L. LEITE VASCONCELOS DE SOUZA,,SEFAZ,L  LEITE VASCONCELOS DE SOUZA,90,97,,
07508154,DAVI ALVES DE SOUSA,DAVI ALVES DE SOUSA,,SEFAZ,DAVI ALVES DE SOUSA,90,100,,
06928078,CARMELO DI LEONE,CARMELO DI LEONE,,SEFAZ,CARMELO DI LEONE,90,100,,
07290284,OTICA BOA VISTA LTDA,OTICA BOA VISTA LTDA,,SEFAZ,OTICA BOA VISTA LTDA,90,100,,
07365337,G E GONÇALVES REPRESENTAÇÃO - ME,G. E. GONCALVES REPRESENTACOES,,SEFAZ,G E GONÇALVES REPRESENTAÇÃO - ME,50,63,,
07199267,ELETROVOLT CONSTRUCOES LTDA,ELETROVOLT CONSTRUCOES LTDA,,SEFAZ,ELETROVOLT CONSTRUCOES LTDA,90,100,,
07226743,L B F NUNES ME,L. B. F. NUNES,,SEFAZ,L B F NUNES ME,50,58,,
09383821,ASSOC. DE MULHERES RURAIS DO POV. SANTA HELENA,ASSOC. DE MULHERES RURAIS DO POV. SANTA HELENA,,SEFAZ,ASSOC. DE MULHERES RURAIS DO POV. SANTA HELENA,90,100,,
09178454,F BARROS RIBEIRO,F. BARROS RIBEIRO,,SEFAZ,F BARROS RIBEIRO,90,95,,
04324969,M. DO S. CORDEIRO SOUZA ME,M DO S CORDEIRO SOUZA,,SEFAZ,M. DO S. CORDEIRO SOUZA ME,50,81,,
08365762,HS AI PAPELARIA LTDA - ME,HS AI PAPELARIA LTDA,,SEFAZ,HS AI PAPELARIA LTDA - ME,50,80,,
35205780,NEIDE OLIVEIRA ALVES ME,NEIDE OLIVEIRA ALVES,,SEFAZ,NEIDE OLIVEIRA ALVES ME,50,87,,
23675804,A PEREIRA DA SILVA LOCACAO DE FITAS,A PEREIRA DA SILVA LOCACAO DE FITAS,,SEFAZ,A PEREIRA DA SILVA LOCACAO DE FITAS,90,100,,
35165232,S M BRINGEL CANAVIEIRA,S M BRINGEL CANAVIEIRA,,SEFAZ,S M BRINGEL CANAVIEIRA,90,100,,
23672124,ELCI MOREIRA LIMA,ELCI MOREIRA LIMA,,SEFAZ,ELCI MOREIRA LIMA,90,100,,
04524723,COOMITAB COOPERATIVA MISTA DOS TAXISTAS DE BACABEIRA,COOMITAB - COOPERATIVA MISTA DOS TAXISTAS DE BACABEIRA,,SEFAZ,COOMITAB COOPERATIVA MISTA DOS TAXISTAS DE BACABEIRA,90,97,,
04281688,BENILDE A DOS REIS E SILVA   ME,BENILDE A DOS REIS E SILVA,,SEFAZ,BENILDE A DOS REIS E SILVA   ME,50,84,,
03399996,SUPERMERCADO E PANIFICADORA P V E LTDA,CONSTRUTORA IMPERA TERRA LTDA,,SEFAZ,SUPERMERCADO E PANIFICADORA P V E LTDA,50,32,,
05039209,F M LIMA,F. M. LIMA,,SEFAZ,F M LIMA,50,80,,
07234455,J B A FERREIRA,J B A FERREIRA,,SEFAZ,J B A FERREIRA,90,100,,
07531691,B. RODRIGUES DO NASCIMENTO -ME,B. RODRIGUES DO NASCIMENTO,,SEFAZ,B. RODRIGUES DO NASCIMENTO -ME,50,87,,
07213789,M. L. DE A. COELHO,M. L. DE A. COELHO,,SEFAZ,M. L. DE A. COELHO,90,100,,
07691709,F. C. PEREIRA - MÓVEIS-ME,F. C. PEREIRA -MOVEIS,,SEFAZ,F. C. PEREIRA - MÓVEIS-ME,50,77,,
00287470,J B M EMPREENDIMENTOS TURISTICOS E AGROPECUARIA LTDA,J B M EMPREENDIMENTOS TURISTICOS E AGROPECUARIA LTDA,,SEFAZ,J B M EMPREENDIMENTOS TURISTICOS E AGROPECUARIA LTDA,90,100,,
07861681,SAPPORO COMERCIO DE PAPEIS LTDA   ME,SAPPORO COMERCIO DE PAPEIS LTDA,,SEFAZ,SAPPORO COMERCIO DE PAPEIS LTDA   ME,50,87,,
07946149,I. DA C. OLIVEIRA COMERCIO,I. DA C. OLIVEIRA COMERCIO,,SEFAZ,I. DA C. OLIVEIRA COMERCIO,90,100,,
08104081,D M PRODUCOES E EVENTOS EIRELI,D M PRODUCOES E EVENTOS EIRELI,,SEFAZ,D M PRODUCOES E EVENTOS EIRELI,90,100,,
09284896,AGUA DE BEBER - COMERCIO DE GENEROS ALIMENTICIOS LTDA,AGUA DE BEBER - COMERCIO DE GENEROS ALIMENTICIOS LTDA,,SEFAZ,AGUA DE BEBER - COMERCIO DE GENEROS ALIMENTICIOS LTDA,90,100,,
01485340,D B DE LIMA ME,D B DE LIMA,,SEFAZ,D B DE LIMA ME,50,79,,
09585604,EGGER CONSULTING AND SERVICES EIRELI,EGGER CONSULTING AND SERVICES EIRELI,,SEFAZ,EGGER CONSULTING AND SERVICES EIRELI,90,100,,
07683539,PRMIX ADMINISTRACAO E PARTICIPACOES LTDA,PRMIX ADMINISTRACAO E PARTICIPACOES LTDA,,SEFAZ,PRMIX ADMINISTRACAO E PARTICIPACOES LTDA,90,100,,
35189216,BIROBITS CONSULTORIA E DESENV DE SISTEMA LTDA,BIROBIT'S CONSULTORIA E DESENVOLVIMENTO DE SISTEMAS LTD,,SEFAZ,BIROBITS CONSULTORIA E DESENV DE SISTEMA LTDA,50,79,,
97356083,M V M MORAIS,M V M MORAIS,,SEFAZ,M V M MORAIS,90,100,,
13049310,VIRGINIA CANTANHEDE CARNEIRO 48261483304,VIRGINIA CANTANHEDE CARNEIRO 48261483304,,SEFAZ,VIRGINIA CANTANHEDE CARNEIRO 48261483304,90,100,,
11243306,C  S  DOS SANTOS COMERCIO,C. S. DOS SANTOS COMERCIO,,SEFAZ,C  S  DOS SANTOS COMERCIO,90,92,,
13280170,JOSE RIBAMAR LINDOSO LOPES 93069391320,JOSE RIBAMAR LINDOSO LOPES 93069391320,JOSE RIBAMAR LINDOSO LOPES 93069391320,REDESIM,JOSE RIBAMAR LINDOSO LOPES 93069391320,100,100,100,100
11970116,R S DA SILVA COMERCIO VAREJISTA,R S DA SILVA COMERCIO VAREJISTA,R S DA SILVA COMERCIO VAREJISTA - ME,REDESIM,R S DA SILVA COMERCIO VAREJISTA - ME,30,100,87,87
03284919,P R DISTRIBUIDORA DE BEBIDAS E ALIMENTOS LTDA ,,,SEFAZ,P R DISTRIBUIDORA DE BEBIDAS E ALIMENTOS LTDA ,60,,,
13977394,DANILO DUARTE CONSTRUCAO E COMERCIO LTDA,DANILO DUARTE CONSTRUCAO E COMERCIO LTDA,DANILO DUARTE CONSTRUÇÃO E COMERCIO LTDA - ME,REDESIM,DANILO DUARTE CONSTRUÇÃO E COMERCIO LTDA - ME,30,100,81,81
14223422,G  A  VARGAS EIRELI,G. A. VARGAS EIRELI,G. A. VARGAS EIRELI,REDESIM,G. A. VARGAS EIRELI,100,90,90,100
13657871,EDNEY COSTA FOICINHA,EDNEY COSTA FOICINHA,,SEFAZ,EDNEY COSTA FOICINHA,90,100,,
13669077,ALDEIDE SILVA BATISTA 88400514300,ALDEIDE SILVA BATISTA 88400514300,,SEFAZ,ALDEIDE SILVA BATISTA 88400514300,90,100,,
12346816,UNITRAK INDUSTRIA E COM  DE PLASTICOS E MONITORAMENTO LTDA,UNITRAK-INDUSTRIA E COM. DE PLASTICOS E MONITORAMENTO LTDA,,SEFAZ,UNITRAK INDUSTRIA E COM  DE PLASTICOS E MONITORAMENTO LTDA,90,97,,
13769951,KLEITON SANTOS 80191533300,K SANTOS REFRIGERACAO EIRELI,K SANTOS REFRIGERAÇÃO,REDESIM,K SANTOS REFRIGERAÇÃO,30,15,24,65
13516264,CLEONILCE MENDES COMERCIO,CLEONILCE MENDES COMERCIO,,SEFAZ,CLEONILCE MENDES COMERCIO,90,100,,
13517310,F AURELIO FRAZAO COSTA,F AURELIO FRAZAO COSTA,F AURELIO FRAZAO COSTA - ME,REDESIM,F AURELIO FRAZAO COSTA - ME,30,100,82,82
14404417,SILVANA RAMOS SILVA 56297580391,SILVANA RAMOS SILVA 56297580391,,SEFAZ,SILVANA RAMOS SILVA 56297580391,90,100,,
15072402,F  RABELO E CIA LTDA ,F. RABELO E CIA LTDA.,,SEFAZ,F  RABELO E CIA LTDA ,90,91,,
69574762,GOMES E DAMASCENO LTDA,GOMES E DAMASCENO LTDA,,SEFAZ,GOMES E DAMASCENO LTDA,90,100,,
13279783,GR COMERCIO LTDA ME    ME,GR COMERCIO LTDA,,SEFAZ,GR COMERCIO LTDA ME    ME,50,64,,
16702762,JOSE RIBAMAR RABELO BASTOS 40651010349,JOSE RIBAMAR RABELO BASTOS 40651010349,,SEFAZ,JOSE RIBAMAR RABELO BASTOS 40651010349,90,100,,
16572998,V  C  BEZERRA SILVA   COMERCIO,V. C. BEZERRA SILVA - COMERCIO,,SEFAZ,V  C  BEZERRA SILVA   COMERCIO,90,90,,
19380964,NILTON CESAR QUARESMA DE SOUZA 92648240306,NILTON CESAR QUARESMA DE SOUZA 92648240306,,SEFAZ,NILTON CESAR QUARESMA DE SOUZA 92648240306,90,100,,
16669643,CARLOS ANDRE DOS SANTOS PINHO 60119965313,CARLOS ANDRE DOS SANTOS PINHO 60119965313,,SEFAZ,CARLOS ANDRE DOS SANTOS PINHO 60119965313,90,100,,
16873832,WADSON MORRAMMAD SOUSA PAVAO 87863596300,WADSON MORRAMMAD SOUSA PAVAO 87863596300,,SEFAZ,WADSON MORRAMMAD SOUSA PAVAO 87863596300,90,100,,
16779374,PECAS HIDRAULICAS SAO FRANCISCO LTDA,PECAS HIDRAULICAS SAO FRANCISCO LTDA,,SEFAZ,PECAS HIDRAULICAS SAO FRANCISCO LTDA,90,100,,
16823985,ELITANE BARROS DOS SANTOS 02038035318,ELITANE BARROS DOS SANTOS BARBOSA 02038035318,,SEFAZ,ELITANE BARROS DOS SANTOS 02038035318,50,83,,
05062214,F RIBEIRO SILVA & CIA LTDA,F RIBEIRO SILVA & CIA LTDA,,SEFAZ,F RIBEIRO SILVA & CIA LTDA,90,100,,
05391441,FEIRAO DOS MOVEIS MAGAZINE LTDA,FEIRAO DOS MOVEIS MAGAZINE LTDA.,,SEFAZ,FEIRAO DOS MOVEIS MAGAZINE LTDA,90,97,,
16953014,ALDINA FREITAS DE JESUS 25481177315,ALDINA FREITAS DE JESUS 25481177315,,SEFAZ,ALDINA FREITAS DE JESUS 25481177315,90,100,,
03734585,M  N  S  MENDES   COMERCIO   ME,M. N. S. MENDES - COMERCIO,,SEFAZ,M  N  S  MENDES   COMERCIO   ME,50,71,,
17431325,RAYANE PINTO TRAJANO,RAYANE PINTO TRAJANO,,SEFAZ,RAYANE PINTO TRAJANO,90,100,,
16934104,J  M  D  RIBEIRO ALIMENTOS,J. M. D. RIBEIRO ALIMENTOS,,SEFAZ,J  M  D  RIBEIRO ALIMENTOS,50,89,,
17503619,ARNALDO SOUSA GOMES 50512099391,ARNALDO SOUSA GOMES 50512099391,ARNALDO SOUSA GOMES 50512099391,REDESIM,ARNALDO SOUSA GOMES 50512099391,100,100,100,100
16863216,VALDENIR MORAIS PEREIRA 41798112353,VALDENIR MORAIS PEREIRA 41798112353,,SEFAZ,VALDENIR MORAIS PEREIRA 41798112353,90,100,,
17121553,M D R MENDES COMERCIO   ME,M D R MENDES COMERCIO,,SEFAZ,M D R MENDES COMERCIO   ME,50,81,,
13872161,ELIANE OLIVEIRA SANTOS 33094268315,ELIANE OLIVEIRA SANTOS 33094268315,,SEFAZ,ELIANE OLIVEIRA SANTOS 33094268315,90,100,,
17302445,JANIANE CARVALHO VALES 80483780359,JANIANE CARVALHO VALES 80483780359,,SEFAZ,JANIANE CARVALHO VALES 80483780359,90,100,,
17311552,RESENDE MACHADO COMERCIO DO VESTUARIO LTDA - ME,RESENDE MACHADO COMERCIO DO VESTUARIO LTDA,RESENDE MACHADO COMÉRCIO DO VESTUÁRIO LTDA - ME,REDESIM,RESENDE MACHADO COMÉRCIO DO VESTUÁRIO LTDA - ME,70,90,92,82
17258244,LOURIVAL RODRIGUES DE BRITO 40871770334,LOURIVAL RODRIGUES DE BRITO 40871770334,LOURIVAL RODRIGUES DE BRITO 40871770334,REDESIM,LOURIVAL RODRIGUES DE BRITO 40871770334,100,100,100,100
17435756,GIRLANNE DA SILVA CHAGAS FURTADO 80425232204,GIRLANNE DA SILVA CHAGAS FURTADO 80425232204,GIRLANNE DA SILVA CHAGAS FURTADO 80425232204,REDESIM,GIRLANNE DA SILVA CHAGAS FURTADO 80425232204,100,100,100,100
17361147,S GOMES DA ROCHA COMERCIO,S GOMES DA ROCHA COMERCIO,,SEFAZ,S GOMES DA ROCHA COMERCIO,90,100,,
17177488,MARIA ROSA DE OLIVEIRA 90076729320,MARIA ROSA DE OLIVEIRA 90076729320,MARIA ROSA DE OLIVEIRA 90076729320,REDESIM,MARIA ROSA DE OLIVEIRA 90076729320,100,100,100,100
17044174,E  GOMES DE MELO   COMERCIO   ME,E. GOMES DE MELO - COMERCIO,,SEFAZ,E  GOMES DE MELO   COMERCIO   ME,50,79,,
17412889,GLEISSON BEZERRA DA SILVA 60475849345,GLEISSON BEZERRA DA SILVA 60475849345,,SEFAZ,GLEISSON BEZERRA DA SILVA 60475849345,90,100,,
17049221,SUZANA CRISTIELLE LIMA DE ALCANTARA 91593123272,SUZANA CRISTIELLE LIMA DE ALCANTARA 91593123272,,SEFAZ,SUZANA CRISTIELLE LIMA DE ALCANTARA 91593123272,90,100,,
17266333,C  P  SANTOS,C. P. SANTOS,,SEFAZ,C  P  SANTOS,50,84,,
17327555,SELF MED MEDICAMENTOS E MATERIAL HOSPITALAR LTDA,SELF MED MEDICAMENTOS E MATERIAL HOSPITALAR LTDA,,SEFAZ,SELF MED MEDICAMENTOS E MATERIAL HOSPITALAR LTDA,90,100,,
17138200,THYANA PEREIRA SILVA,THYANA PEREIRA SILVA,THYANA PEREIRA SILVA,REDESIM,THYANA PEREIRA SILVA,100,100,100,100
17291021,ALINE CRISTINA ABEL DA SILVA 03262013358,ALINE CRISTINA ABEL DA SILVA 03262013358,,SEFAZ,ALINE CRISTINA ABEL DA SILVA 03262013358,90,100,,
17020664,MURILO DE OLIVIERA LOBO,MURILO DE OLIVIERA LOBO,,SEFAZ,MURILO DE OLIVIERA LOBO,90,100,,
17091712,VALMIRA LOPES DE CARVALHO 17558352304,VALMIRA LOPES DE CARVALHO 17558352304,,SEFAZ,VALMIRA LOPES DE CARVALHO 17558352304,90,100,,
17328896,LUZIENE NOJOSA ALVES SOUSA 01302762354,LUZIENE NOJOSA ALVES 01302762354,LUZIENE NOJOSA ALVES 01302762354,REDESIM,LUZIENE NOJOSA ALVES 01302762354,70,85,85,100
17231692,R B DE AGUIAR COMERCIO   ME,R B DE AGUIAR COMERCIO,R B DE AGUIAR COMERCIO - ME,REDESIM,R B DE AGUIAR COMERCIO - ME,70,82,97,82
17326112,GRANDE LIBANO COMERCIO LTDA   ME,GRANDE LIBANO COMERCIO LTDA,GRANDE LIBANO COMERCIO LTDA,REDESIM,GRANDE LIBANO COMERCIO LTDA,70,85,85,100
17320927,AUTO POSTO ESA LTDA   ME,AUTO POSTO ESA LTDA,AUTO POSTO ESA LTDA - ME,REDESIM,AUTO POSTO ESA LTDA - ME,70,80,96,80
